"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.syncedWriter","avgt",16,25,125.188374,1.835921,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.volatileReader","avgt",16,25,19.804076,0.339615,"ns/op"
"ru.ifmo.mpp.jmh.SixteenThreadedThreadScope.volatileWriter","avgt",16,25,82.039435,0.362875,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.basicReader","avgt",2,25,2.466592,0.026026,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.basicWriter","avgt",2,25,12.942836,0.567329,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.lockingReader","avgt",2,25,258.445162,12.817440,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.lockingWriter","avgt",2,25,279.250287,30.703802,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.syncedReader","avgt",2,25,113.318128,2.085656,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.syncedWriter","avgt",2,25,111.498511,4.678642,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.volatileReader","avgt",2,25,2.591713,0.032642,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedBenchmarkScope.volatileWriter","avgt",2,25,68.962633,2.157781,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.basicReader","avgt",2,25,2.506577,0.027707,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.basicWriter","avgt",2,25,2.716554,0.055154,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.lockingReader","avgt",2,25,23.943927,0.443615,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.lockingWriter","avgt",2,25,23.752312,0.101289,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.syncedReader","avgt",2,25,24.770291,0.166625,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.syncedWriter","avgt",2,25,25.024943,0.163579,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.volatileReader","avgt",2,25,2.600787,0.037250,"ns/op"
"ru.ifmo.mpp.jmh.TwoThreadedThreadScope.volatileWriter","avgt",2,25,11.379780,1.106934,"ns/op"
